0,1,2,3
Ordinance  No.,Adoption  Date,Section,Section  this Code
,,,20-161
,,Added,20-162—20-164
,,,30-13.1
41493,7- 1-19,1,"12-3, 12-4"
,,Added,"12-5, 12-6"
,,,12-16
,,Added,12-17
,,Rnbd,12-17—12-20
,,as,12-18—12-20.5
41494,7- 1-19,1,33-22
41499,7- 1-19,,Adopt. Ord.
41626,11-18-19,1,2-14
41637,12-16-19,1,2-15
41653,1-21-20,1  Added,24-97.1
41710,4- 6-20,2,32-105
41750,6-15-20,1,32-93
,,,32-95—32-98.1
,,,32-101.9
,,,32-101.11—32-101.13
,,,32-101.20
,,,32-101.22—32-101.26
41770,6-15-20,1,20-131
,,2  Added,"20-165, 20-166"
,,3,24-94
41796,7- 6-20,1,Adopt. Ord.
41799,7- 6-20,1,2-282
,,2,"Ch. 2, Art. XIV, Div. 2 (tit.)"
,,,2-297
,,3  Added,2-305
41809,7-20-20,1,14.1-1
,,,14.1-25
,,,14.1-42
,,,14.1-45
41812,7-20-20,1,2-305(b)(2)
,,,"2-305(f)(1), (2)"
41816,7-20-20,1,31.1-203
,,,31.1-400
,,,App. B-4
41817,7-20-20,1,36.2-205
,,,36.2-311
,,,36.2-315
,,,36.2-322
,,,36.2-327
,,Added,36.2-407.2
,,Added,36.2-410.1
,,Added,36.2-423(e)
,,,36.2-429
,,,36.2-552
,,,36.2-553
,,,36.2-630
,,,36.2-642
,,,36.2-643
,,,36.2-648
,,,36.2-652
,,,36.2-661—36.2-664
,,,36.2-673
,,,App. A
,,,App. B-1
41839,8-17-20,1,2-305(b)(3)
41877,9-21-20,1  Rpld,7-4(b)
41901,10-19-20,1  Added,32.3-1—32.3-8
41918,11-16-20,1,36.2-311
,,,36.2-315
,,,36.2-322
,,,36.2-327
,,,36.2-405
,,,36.2-410
,,,36.2-429
,,,36.2-522
,,,36.2-647
,,,36.2-652
,,,App. A
41927,12- 7-20,1,2-305(e)(3)
41931,12-21-20,1,32-226.1
,,2,32-247.1
,,3,32-295(a)
41932,12-21-20,1,32-19(a)
,,2,32-106(a)
41933,12-21-20,1,32-104(d)
41934,12-21-20,1,32-155
41935,12-21-20,1,19-20(d)
41943,12-21-20,1,34-135—34-149
41944,12-21-20,1,21-32(b)
41945,12-21-20,1,2-37
41997,3- 1-21,1,34-147
41998,3- 1-21,1  Rpld,20-28(o)
42004,3-15-21,1,20-67(g)
,,,20-91
42012,3-15-21,1  Added,2-297(5)
,,3  Added,2-306
42014,3-15-21,1,20-16(a)
42018,3-15-21,1,32-103.2
42020,3-15-21,1  Added,24-2.1
42042,4-19-21,1,10-26
,,,10-34
42062,5-17-21,1  Added,32-315—32-322
42071,6- 7-21,1,11.5-8(a)
,,2,14.1-5(d)
42072,6- 7-21,1,32-124(b)
42145,9- 7-21,1,12-19
42173,10- 7-21,1  Added,2-297(6)
,,2  Added,2-307
